,user,text,favorite_count,retweet_count,created_at
83,elonmusk,@WholeMarsBlog Most amount of people I’ve ever seen in the building by far,213994,8641,2022-11-19 12:19:23+00:00
84,elonmusk,@micsolana 🤣🤣,6325,216,2022-11-19 12:02:22+00:00
85,elonmusk,@Jason @DavidSacks @Zappos That was certainly my intention too!,5635,197,2022-11-19 11:43:12+00:00
86,elonmusk,Tesla FSD 10.69.3.1 going to wide release now,120352,6892,2022-11-19 09:37:51+00:00
87,elonmusk,Just leaving Twitter HQ code review https://t.co/pYcXRTJm14,461899,36925,2022-11-19 09:28:36+00:00
88,elonmusk,@Nomad_1x The bot attack is impressive to watch!,60024,4310,2022-11-19 09:21:31+00:00
89,elonmusk,Trump poll getting ~1M votes/hour!,617528,38200,2022-11-19 09:05:35+00:00
90,elonmusk,@micsolana Can’t tell if this is parody or real,9962,346,2022-11-19 09:02:30+00:00
91,elonmusk,"@jack @Lucididy @jordanbpeterson Verification through the payment system plus phones, but allowing pseudonyms is the least bad solution I can think of",14259,799,2022-11-19 06:06:34+00:00
92,elonmusk,"@saylor When polls are about a significant question, even those who don’t follow me tend to hear about it. That said, I agree with the idea of an all-user poll. Should also be an all-user by country poll.",232204,9081,2022-11-19 02:09:59+00:00
93,elonmusk,@lexfridman Agreed,30738,708,2022-11-19 02:07:59+00:00
94,elonmusk,"Vox Populi, Vox Dei",316157,23042,2022-11-19 00:53:47+00:00
95,elonmusk,Reinstate former President Trump,830024,233592,2022-11-19 00:47:45+00:00
96,elonmusk,@thevivafrei @paraga @jack Too bad,60101,1846,2022-11-19 00:41:18+00:00
97,elonmusk,@S3XYstarship @slashdot DoJ Antitrust @JusticeATR,4370,275,2022-11-19 00:25:35+00:00
98,elonmusk,"@slashdot App store fees are obviously too high due to the iOS/Android duopoly. 

It is a hidden 30% tax on the Internet.",52903,4661,2022-11-19 00:15:53+00:00
99,elonmusk,@Tesmanian_com Kind of him to say. I look forward to meeting.,52283,2317,2022-11-19 00:13:23+00:00
100,elonmusk,@TrungTPhan 🤣,6700,201,2022-11-18 22:14:51+00:00
101,elonmusk,First World Cup match on Sunday! Watch on Twitter for best coverage &amp; real-time commentary.,621656,55621,2022-11-18 22:07:39+00:00
102,elonmusk,@BillyM2k Exactly,32195,1740,2022-11-18 21:52:14+00:00
103,elonmusk,@Benioff Thanks Marc ❤️,62578,2029,2022-11-18 21:11:12+00:00
104,elonmusk,@HardcoreNolley No,70880,1642,2022-11-18 19:03:47+00:00
105,elonmusk,"Note, this applies just to the individual tweet, not the whole account",134435,7650,2022-11-18 18:38:38+00:00
106,elonmusk,@TheBabylonBee If only there had been a way … 🤣🤣,49572,3205,2022-11-18 18:37:03+00:00
107,elonmusk,"Kathie Griffin, Jorden Peterson &amp; Babylon Bee have been reinstated.

Trump decision has not yet been made.",270652,21116,2022-11-18 18:33:48+00:00
